Passenger Id,Age,Sibling/Spouse Aboard,Parent/Children Aboard,Passenger Class,Fare,Embarkation Port,Survival Boat,Body Number,Survived,Female,Male
181,39,0,0,1,211.3375,2,2,S,1,1,0
182,49,0,0,1,25.9292,2,8,S,1,1,0
183,30,0,0,1,106.425,0,2,S,1,1,0
184,35,0,0,1,512.3292,0,3,S,1,0,1
185,41.5,0,0,1,27.7208,0,DNS,BNR,0,0,1
186,42,0,0,1,26.55,2,DNS,BNR,0,0,1
187,55,0,0,1,27.7208,0,6,S,1,1,0
188,16,0,1,1,39.4,2,9,S,1,1,0
189,51,0,1,1,39.4,2,9,S,1,1,0
190,29,0,0,1,30,2,DNS,126,0,0,1
191,21,0,0,1,77.9583,2,10,S,1,1,0
192,30,0,0,1,45.5,2,DNS,BNR,0,0,1
193,58,0,0,1,146.5208,0,DNS,S,1,1,0
194,15,0,1,1,211.3375,2,2,S,1,1,0
195,30,0,0,1,26,2,DNS,BNR,0,0,1
196,16,0,0,1,86.5,2,8,S,1,1,0
197,41.5,0,0,1,29.7,0,7,S,1,0,1
198,19,1,0,1,53.1,2,DNS,BNR,0,0,1
199,18,1,0,1,53.1,2,10,S,1,1,0
200,24,0,0,1,49.5042,0,6,S,1,1,0
201,46,0,0,1,75.2417,0,DNS,292,0,0,1
202,54,0,0,1,51.8625,2,DNS,175,0,0,1
203,36,0,0,1,26.2875,2,7,S,1,0,1
204,28,1,0,1,82.1708,0,DNS,BNR,0,0,1
205,45,1,0,1,82.1708,0,6,S,1,1,0
206,65,0,0,1,26.55,2,DNS,249,0,0,1
207,44,2,0,1,90,1,DNS,230,0,0,1
208,33,1,0,1,90,1,14,S,1,1,0
209,37,1,0,1,90,1,14,S,1,1,0
210,30,1,0,1,57.75,0,11,S,1,0,1
211,55,0,0,1,30.5,2,DNS,BNR,0,0,1
212,47,0,0,1,42.4,2,DNS,BNR,0,0,1
213,37,0,1,1,29.7,0,DNS,BNR,0,0,1
214,31,1,0,1,113.275,0,6,S,1,1,0
215,23,1,0,1,113.275,0,6,S,1,1,0
216,58,0,2,1,113.275,0,DNS,122,0,0,1
217,19,0,2,1,26.2833,2,5,S,1,1,0
218,64,0,0,1,26,2,DNS,263,0,0,1
219,39,0,0,1,108.9,0,8,S,1,1,0
220,41.5,0,0,1,25.7417,0,7,S,1,0,1
221,22,0,1,1,61.9792,0,5,S,1,1,0
222,65,0,1,1,61.9792,0,DNS,234,0,0,1
223,28.5,0,0,1,27.7208,0,DNS,189,0,0,1
224,41.5,0,0,1,0,2,DNS,BNR,0,0,1
225,45.5,0,0,1,28.5,2,DNS,166,0,0,1
226,23,0,0,1,93.5,2,DNS,BNR,0,0,1
227,29,1,0,1,66.6,2,DNS,BNR,0,0,1
228,22,1,0,1,66.6,2,8,S,1,1,0
229,18,1,0,1,108.9,0,DNS,BNR,0,0,1
230,17,1,0,1,108.9,0,8,S,1,1,0
231,30,0,0,1,93.5,2,3,S,1,1,0
232,52,0,0,1,30.5,2,6,S,1,0,1
233,47,0,0,1,52,2,DNS,207,0,0,1
234,56,0,1,1,83.1583,0,7,S,1,1,0
235,38,0,0,1,0,2,DNS,BNR,0,0,1
236,41.5,0,0,1,39.6,2,A,S,1,0,1
237,22,0,0,1,135.6333,0,DNS,232,0,0,1
238,41.5,0,0,1,227.525,0,DNS,BNR,0,0,1
239,43,0,1,1,211.3375,2,2,S,1,1,0
240,31,0,0,1,50.4958,2,DNS,BNR,0,0,1
241,45,0,0,1,26.55,2,9,S,1,0,1
242,41.5,0,0,1,50,2,DNS,BNR,0,0,1
243,33,0,0,1,27.7208,0,11,S,1,1,0
244,46,0,0,1,79.2,0,DNS,16,0,0,1
245,36,0,0,1,40.125,0,DNS,BNR,0,0,1
246,33,0,0,1,86.5,2,8,S,1,1,0
247,55,1,0,1,59.4,0,DNS,BNR,0,0,1
248,54,1,0,1,59.4,0,6,S,1,1,0
249,33,0,0,1,26.55,2,DNS,109,0,0,1
250,13,2,2,1,262.375,0,4,S,1,0,1
251,18,2,2,1,262.375,0,4,S,1,1,0
252,21,2,2,1,262.375,0,4,S,1,1,0
253,61,1,3,1,262.375,0,DNS,BNR,0,0,1
254,48,1,3,1,262.375,0,4,S,1,1,0
255,41.5,0,0,1,30.5,2,3,S,1,0,1
256,24,0,0,1,69.3,0,9,S,1,1,0
257,41.5,0,0,1,26,2,1,S,1,0,1
258,35,1,0,1,57.75,0,11,S,1,1,0
259,30,0,0,1,31,0,4,S,1,1,0
260,34,0,0,1,26.55,2,7,S,1,0,1
261,40,0,0,1,153.4625,2,3,S,1,1,0
262,35,0,0,1,26.2875,2,5,S,1,0,1
263,50,1,0,1,55.9,2,DNS,BNR,0,0,1
264,39,1,0,1,55.9,2,11,S,1,1,0
265,56,0,0,1,35.5,0,3,S,1,0,1
266,28,0,0,1,35.5,2,7,S,1,0,1
267,56,0,0,1,26.55,2,DNS,BNR,0,0,1
268,56,0,0,1,30.6958,0,DNS,BNR,0,0,1
269,24,1,0,1,60,2,DNS,BNR,0,0,1
270,41.5,0,0,1,26,2,DNS,BNR,0,0,1
271,18,1,0,1,60,2,6,S,1,1,0
272,24,1,0,1,82.2667,2,7,S,1,0,1
273,23,1,0,1,82.2667,2,7,S,1,1,0
274,6,0,2,1,134.5,0,3,S,1,0,1
275,45,1,1,1,134.5,0,3,S,1,0,1
276,40,1,1,1,134.5,0,3,S,1,1,0
277,57,1,0,1,146.5208,0,DNS,BNR,0,0,1
278,45,1,0,1,146.5208,0,6,S,1,1,0
279,32,0,0,1,30.5,0,3,S,1,0,1
280,62,0,0,1,26.55,2,DNS,BNR,0,0,1
281,54,1,0,1,55.4417,0,1,S,1,0,1
282,43,1,0,1,55.4417,0,5,S,1,1,0
283,52,1,0,1,78.2667,0,4,S,1,1,0
284,41.5,0,0,1,27.7208,0,DNS,BNR,0,0,1
285,62,0,0,1,80,2,6,S,1,1,0
286,67,1,0,1,221.7792,2,DNS,96,0,0,1
287,63,1,0,1,221.7792,2,DNS,BNR,0,1,0
288,61,0,0,1,32.3208,2,DNS,46,0,0,1
289,48,0,0,1,25.9292,2,8,S,1,1,0
290,18,0,2,1,79.65,2,8,S,1,1,0
291,52,1,1,1,79.65,2,DNS,BNR,0,0,1
292,39,1,1,1,79.65,2,8,S,1,1,0
293,48,1,0,1,52,2,5 7,S,1,0,1
294,45,1,0,1,52,2,5 7,S,1,1,0
295,49,1,1,1,110.8833,0,DNS,BNR,0,0,1
296,17,0,2,1,110.8833,0,B,S,1,0,1
297,39,1,1,1,110.8833,0,4,S,1,1,0
298,45,0,0,1,79.2,0,D,S,1,1,0
299,31,0,0,1,28.5375,0,7,S,1,0,1
300,40,0,0,1,27.7208,0,DNS,BNR,0,0,1
301,61,0,0,1,33.5,2,DNS,245,0,0,1
302,47,0,0,1,34.0208,2,DNS,BNR,0,0,1
303,35,0,0,1,512.3292,0,3,S,1,1,0
304,64,1,0,1,75.25,0,DNS,BNR,0,0,1
305,60,1,0,1,75.25,0,5,S,1,1,0
306,60,0,0,1,26.55,2,DNS,BNR,0,0,1
307,54,0,1,1,77.2875,2,DNS,BNR,0,0,1
308,21,0,1,1,77.2875,2,DNS,169,0,0,1
309,55,0,0,1,135.6333,0,8,S,1,1,0
310,31,0,2,1,164.8667,2,8,S,1,1,0
311,57,1,1,1,164.8667,2,DNS,BNR,0,0,1
312,45,1,1,1,164.8667,2,8,S,1,1,0
313,50,1,1,1,211.5,0,DNS,BNR,0,0,1
314,27,0,2,1,211.5,0,DNS,BNR,0,0,1
315,50,1,1,1,211.5,0,4,S,1,1,0
316,21,0,0,1,26.55,2,8 10,S,1,1,0
317,51,0,1,1,61.3792,0,DNS,BNR,0,0,1
318,21,0,1,1,61.3792,0,A,S,1,0,1
319,41.5,0,0,1,35,2,DNS,BNR,0,0,1
320,31,0,0,1,134.5,0,3,S,1,1,0
321,41.5,0,0,1,35.5,2,D,S,1,0,1
322,62,0,0,1,26.55,2,DNS,BNR,0,0,1
323,36,0,0,1,135.6333,0,8,S,1,1,0
324,30,1,0,2,24,0,DNS,BNR,0,0,1
325,28,1,0,2,24,0,10,S,1,1,0
326,30,0,0,2,13,2,DNS,BNR,0,0,1
327,18,0,0,2,11.5,2,DNS,BNR,0,0,1
328,25,0,0,2,10.5,2,DNS,BNR,0,0,1
329,34,1,0,2,26,2,DNS,BNR,0,0,1
330,36,1,0,2,26,2,11,S,1,1,0
331,57,0,0,2,13,2,DNS,BNR,0,0,1
332,18,0,0,2,11.5,2,DNS,BNR,0,0,1
333,23,0,0,2,10.5,2,DNS,BNR,0,0,1
334,36,0,0,2,13,2,10,S,1,1,0
335,28,0,0,2,10.5,2,DNS,BNR,0,0,1
336,51,0,0,2,12.525,2,DNS,174,0,0,1
337,32,1,0,2,26,2,13,S,1,0,1
338,19,1,0,2,26,2,13,S,1,1,0
339,28,0,0,2,26,2,DNS,BNR,0,0,1
340,1,2,1,2,39,2,11,S,1,0,1
341,4,2,1,2,39,2,11,S,1,1,0
342,12,2,1,2,39,2,13,S,1,1,0
343,36,0,3,2,39,2,11,S,1,1,0
344,34,0,0,2,13,2,13,S,1,0,1
345,19,0,0,2,13,2,12,S,1,1,0
346,23,0,0,2,13,2,DNS,BNR,0,0,1
347,26,0,0,2,13,2,DNS,BNR,0,0,1
348,42,0,0,2,13,2,DNS,BNR,0,0,1
349,27,0,0,2,13,2,DNS,BNR,0,0,1
350,24,0,0,2,13,2,11,S,1,1,0
351,15,0,2,2,39,2,14,S,1,1,0
352,60,1,1,2,39,2,DNS,BNR,0,0,1
353,40,1,1,2,39,2,14,S,1,1,0
354,20,1,0,2,26,2,12,S,1,1,0
355,25,1,0,2,26,2,DNS,BNR,0,0,1
356,36,0,0,2,13,2,9,S,1,1,0
357,25,0,0,2,13,2,DNS,97,0,0,1
358,42,0,0,2,13,2,DNS,BNR,0,0,1
359,42,0,0,2,13,2,DNS,S,1,1,0
360,0.8333,0,2,2,29,2,13,S,1,0,1
361,26,1,1,2,29,2,13,S,1,0,1
362,22,1,1,2,29,2,13,S,1,1,0
363,35,0,0,2,21,2,14,S,1,1,0
364,30,0,0,2,0,2,DNS,BNR,0,0,1
365,19,0,0,2,13,2,DNS,18,0,0,1
366,44,1,0,2,26,2,DNS,BNR,0,1,0
367,54,1,0,2,26,2,DNS,BNR,0,0,1
368,52,0,0,2,13.5,2,DNS,130,0,0,1
369,37,1,0,2,26,2,DNS,17,0,0,1
370,29,1,0,2,26,2,DNS,BNR,0,1,0
371,25,1,1,2,30,2,12,S,1,1,0
372,45,0,2,2,30,2,12,S,1,1,0
373,29,1,0,2,26,2,DNS,BNR,0,0,1
374,28,1,0,2,26,2,14,S,1,1,0
375,29,0,0,2,10.5,2,DNS,BNR,0,0,1
376,28,0,0,2,13,2,DNS,BNR,0,0,1
377,24,0,0,2,10.5,2,9,S,1,0,1
378,8,0,2,2,26.25,2,14,S,1,1,0
379,31,1,1,2,26.25,2,DNS,BNR,0,0,1
380,31,1,1,2,26.25,2,14,S,1,1,0
381,22,0,0,2,10.5,2,14,S,1,1,0
382,30,0,0,2,13,2,DNS,BNR,0,1,0
383,30.5,0,0,2,21,2,DNS,BNR,0,1,0
384,21,0,0,2,11.5,2,DNS,BNR,0,0,1
385,30,0,0,2,0,2,DNS,BNR,0,0,1
386,8,1,1,2,36.75,2,14,S,1,0,1
387,18,0,0,2,73.5,2,DNS,BNR,0,0,1
388,48,0,2,2,36.75,2,14,S,1,1,0
389,28,0,0,2,13,2,13,S,1,1,0
390,32,0,0,2,13,2,DNS,BNR,0,0,1
391,17,0,0,2,73.5,2,DNS,BNR,0,0,1
392,29,1,0,2,27.7208,0,DNS,295,0,0,1
393,24,1,0,2,27.7208,0,12,S,1,1,0
394,25,0,0,2,31.5,2,DNS,BNR,0,0,1
395,18,0,0,2,73.5,2,DNS,BNR,0,0,1
396,18,0,1,2,23,2,DNS,S,1,1,0
397,34,0,1,2,23,2,DNS,S,1,1,0
398,54,0,0,2,26,2,DNS,BNR,0,0,1
399,8,0,2,2,32.5,2,10,S,1,0,1
400,42,1,1,2,32.5,2,DNS,BNR,0,0,1
401,34,1,1,2,32.5,2,10,S,1,1,0
402,27,1,0,2,13.8583,0,12,S,1,1,0
403,30,1,0,2,13.8583,0,12,S,1,1,0
404,23,0,0,2,13,2,DNS,BNR,0,0,1
405,21,0,0,2,13,2,DNS,BNR,0,0,1
406,18,0,0,2,13,2,DNS,BNR,0,0,1
407,40,1,0,2,26,2,DNS,286,0,0,1
408,29,1,0,2,26,2,16,S,1,1,0
409,18,0,0,2,10.5,2,DNS,BNR,0,0,1
410,36,0,0,2,13,2,DNS,236,0,0,1
411,30,0,0,2,0,2,DNS,BNR,0,0,1
412,38,0,0,2,13,2,DNS,BNR,0,1,0
413,35,0,0,2,26,2,DNS,322,0,0,1
414,38,1,0,2,21,2,DNS,BNR,0,0,1
415,34,1,0,2,21,2,DNS,BNR,0,0,1
416,34,0,0,2,13,2,12,S,1,1,0
417,16,0,0,2,26,2,DNS,BNR,0,0,1
418,26,0,0,2,10.5,2,DNS,BNR,0,0,1
419,47,0,0,2,10.5,2,DNS,BNR,0,0,1
420,21,1,0,2,11.5,2,DNS,BNR,0,0,1
421,21,1,0,2,11.5,2,DNS,BNR,0,0,1
422,24,0,0,2,13.5,2,DNS,297,0,0,1
423,24,0,0,2,13,2,DNS,155,0,0,1
424,34,0,0,2,13,2,DNS,BNR,0,0,1
425,30,0,0,2,13,2,DNS,305,0,0,1
426,52,0,0,2,13,2,DNS,19,0,0,1
427,30,0,0,2,13,2,DNS,75,0,0,1
428,0.6667,1,1,2,14.5,2,4,S,1,0,1
429,24,0,2,2,14.5,2,4,S,1,1,0
430,44,0,0,2,13,2,DNS,35,0,0,1
431,6,0,1,2,33,2,11,S,1,1,0
432,28,0,1,2,33,2,DNS,BNR,0,0,1
433,62,0,0,2,10.5,2,15,S,1,0,1
434,30,0,0,2,10.5,2,DNS,BNR,0,0,1
435,7,0,2,2,26.25,2,14,S,1,1,0
436,43,1,1,2,26.25,2,DNS,BNR,0,0,1
437,45,1,1,2,26.25,2,14,S,1,1,0
438,24,1,2,2,65,2,9,S,1,1,0
439,24,1,2,2,65,2,9,S,1,1,0
440,49,1,2,2,65,2,DNS,BNR,0,0,1
441,48,1,2,2,65,2,9,S,1,1,0
442,55,0,0,2,16,2,13,S,1,1,0
443,24,2,0,2,73.5,2,DNS,BNR,0,0,1
444,32,2,0,2,73.5,2,DNS,256,0,0,1
445,21,2,0,2,73.5,2,DNS,BNR,0,0,1
446,18,1,1,2,13,2,DNS,BNR,0,1,0
447,20,2,1,2,23,2,4,S,1,1,0
448,23,2,1,2,11.5,2,DNS,BNR,0,0,1
449,36,0,0,2,13,2,DNS,BNR,0,0,1
450,54,1,3,2,23,2,4,S,1,1,0
451,50,0,0,2,13,2,DNS,149,0,0,1
452,44,1,0,2,26,2,DNS,BNR,0,0,1
453,29,1,0,2,26,2,10,S,1,1,0
454,21,0,0,2,73.5,2,DNS,BNR,0,0,1
455,42,0,0,2,13,2,10,S,1,0,1
456,63,1,0,2,26,2,DNS,BNR,0,0,1
457,60,1,0,2,26,2,DNS,BNR,0,1,0
458,33,0,0,2,12.275,2,DNS,BNR,0,0,1
459,17,0,0,2,10.5,2,DNS,S,1,1,0
460,42,1,0,2,27,2,DNS,BNR,0,0,1
461,24,2,1,2,27,2,12,S,1,1,0
462,47,0,0,2,15,2,DNS,BNR,0,0,1
463,24,2,0,2,31.5,2,DNS,BNR,0,0,1
464,22,2,0,2,31.5,2,DNS,BNR,0,0,1
465,32,0,0,2,10.5,2,DNS,BNR,0,0,1
466,23,0,0,2,13.7917,0,11,S,1,1,0
467,34,1,0,2,26,2,DNS,283,0,0,1
468,24,1,0,2,26,2,12,S,1,1,0
469,22,0,0,2,21,2,DNS,BNR,0,1,0
470,20,0,0,2,12.35,1,10,S,1,1,0
471,35,0,0,2,12.35,1,DNS,BNR,0,0,1
472,45,0,0,2,13.5,2,9,S,1,1,0
473,57,0,0,2,12.35,1,DNS,BNR,0,0,1
474,30,0,0,2,0,2,DNS,BNR,0,0,1
475,31,0,0,2,10.5,2,DNS,165,0,0,1
476,26,1,1,2,26,2,DNS,BNR,0,1,0
477,30,1,1,2,26,2,DNS,BNR,0,0,1
478,30,0,0,2,10.7083,1,DNS,BNR,0,0,1
479,1,1,2,2,41.5792,0,14,S,1,1,0
480,3,1,2,2,41.5792,0,14,S,1,1,0
481,25,1,2,2,41.5792,0,DNS,BNR,0,0,1
482,22,1,2,2,41.5792,0,14,S,1,1,0
483,17,0,0,2,12,0,12,S,1,1,0
484,20,0,0,2,33,2,11,S,1,1,0
485,34,0,0,2,10.5,2,14,S,1,1,0
486,36,0,0,2,12.875,0,DNS,BNR,0,0,1
487,24,0,0,2,10.5,2,DNS,108,0,0,1
488,61,0,0,2,12.35,1,DNS,BNR,0,0,1
489,50,1,0,2,26,2,DNS,121,0,0,1
490,42,1,0,2,26,2,DNS,S,1,1,0
491,57,0,0,2,10.5,2,DNS,52,0,1,0
492,30,0,0,2,15.0458,0,DNS,BNR,0,0,1
493,1,0,2,2,37.0042,0,10,S,1,0,1
494,31,1,1,2,37.0042,0,DNS,BNR,0,0,1
495,24,1,1,2,37.0042,0,10,S,1,1,0
496,30,0,0,2,15.5792,0,DNS,BNR,0,0,1
497,30,0,0,2,13,2,DNS,BNR,0,0,1
498,40,0,0,2,16,2,DNS,BNR,0,0,1
499,32,0,0,2,13.5,2,DNS,209,0,0,1
500,30,0,0,2,13,2,DNS,BNR,0,0,1
501,46,0,0,2,26,2,DNS,BNR,0,0,1
502,13,0,1,2,19.5,2,14,S,1,1,0
503,41,0,1,2,19.5,2,14,S,1,1,0
504,19,0,0,2,10.5,2,B,S,1,0,1
505,39,0,0,2,13,2,DNS,BNR,0,0,1
